outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,-10,0,NA,NA,NA
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,0,0.18787346972945904,0.0679762458788886,0.05464002780683738,0.3211069116520807
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,10,0.21135011125626257,0.07304346823148244,0.06818491352255698,0.3545153089899682
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,20,0.2891571801652373,0.08917827784194261,0.11436775559502976,0.4639466047354448
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,30,0.40750770015729737,0.09428421173750504,0.2227106451517875,0.5923047551628072
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,40,0.41726221358722776,0.09096437718589129,0.23897203430288083,0.5955523928715747
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,50,0.5222627253328688,0.10232235641141631,0.32171090676649283,0.7228145438992447
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,60,0.4592690495353744,0.09199823351544,0.27895251184511205,0.6395855872256367
log1p_n_stem,combined_us_europe,alternative_decade,notyettreated,70,0.22917429968042033,0.1258802555470566,-0.017551001191810578,0.47589960055265124
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,-70,-2.3206393714264673,3.1083267557060843,-8.412959812610392,3.7716810697574576
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,-60,-0.6656885825477088,2.2577642254905115,-5.0909064645091116,3.7595292994136935
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,-50,-0.6196830153275591,1.656259304833328,-3.865951252800882,2.626585222145764
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,-40,-0.33873204306878796,1.348976470845345,-2.9827259259256644,2.3052618397880886
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,-30,1.4570610200064293,1.0517907432502174,-0.6044488367639969,3.5185708767768555
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,-20,-0.08489126569244584,0.9677067650815079,-1.9815965252522012,1.8118139938673095
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,-10,0,NA,NA,NA
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,0,-0.43051667301564855,0.6953866194385702,-1.793474447115246,0.932441101083949
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,10,-1.065005778069242,0.7898568596244246,-2.613125222933114,0.4831136667946303
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,20,-2.6051441745995536,1.179513727939716,-4.916991081361397,-0.29329726783771015
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,30,-2.708322454978046,1.157228388835773,-4.9764900970961605,-0.44015481285993063
inventors_per_100k_pop,europe_city_only,standard_decade,notyettreated,40,-2.663106806152146,1.461302815999933,-5.527260325512015,0.20104671320772294
