design,spec,outcome,event_time,att,se,conf_low,conf_high
County of school,Low-access first exposure,STEM births (count),60,2.8656745999194255,1.2949237785873968,0.3276239938881278,5.403725205950723
County of school,Low-access first exposure,Any STEM birth (pp),-60,-17.05892619009277,7.522021404984073,-31.802088143861553,-2.3157642363239876
County of school,Low-access first exposure,Any STEM birth (pp),-50,-14.87206127575066,8.01608250008274,-30.583582975912833,0.8394604244115111
County of school,Low-access first exposure,Any STEM birth (pp),-40,-6.66309057421155,6.575548912345092,-19.551166442407933,6.224985293984831
County of school,Low-access first exposure,Any STEM birth (pp),-30,-5.822055746872164,6.487362320535085,-18.53728589512093,6.893174401376602
County of school,Low-access first exposure,Any STEM birth (pp),-20,-0.5383423204690251,6.836156724196357,-13.937209499893886,12.860524858955834
County of school,Low-access first exposure,Any STEM birth (pp),0,16.30473269446796,6.2643025260375715,4.0266997434343175,28.5827656455016
County of school,Low-access first exposure,Any STEM birth (pp),10,7.466228809685301,7.22237727840899,-6.68963065599632,21.62208827536692
County of school,Low-access first exposure,Any STEM birth (pp),20,15.859940928311287,6.7695443984875,2.5916339072757886,29.128247949346786
County of school,Low-access first exposure,Any STEM birth (pp),30,21.689155456369086,7.969999093127013,6.06795723384014,37.31035367889803
County of school,Low-access first exposure,Any STEM birth (pp),40,23.18007046174742,7.229522489728467,9.010206381879625,37.34993454161521
County of school,Low-access first exposure,Any STEM birth (pp),50,34.97224115030737,6.897179189214534,21.453769939446882,48.49071236116785
County of school,Low-access first exposure,Any STEM birth (pp),60,18.38674278126231,7.882712652017564,2.9366259833078843,33.836859579216735
50 km radius,Any exposure,STEM share zero-filled (pp),-60,-2.479516543966591,1.8292433574063771,-6.06483352448309,1.1058004365499081
50 km radius,Any exposure,STEM share zero-filled (pp),-50,-3.1488791022092038,1.8334281693626095,-6.742398314159918,0.4446401097415107
50 km radius,Any exposure,STEM share zero-filled (pp),-40,-1.7550648309316466,1.7578159201928298,-5.200384034509593,1.6902543726463
50 km radius,Any exposure,STEM share zero-filled (pp),-30,-3.0819563357406468,1.6282149477650492,-6.273257633360143,0.10934496187884957
50 km radius,Any exposure,STEM share zero-filled (pp),-20,1.0969773379589087,1.7539618583574434,-2.3407879044216804,4.534742580339498
50 km radius,Any exposure,STEM share zero-filled (pp),0,1.4345432011268147,1.8274347818555665,-2.1472289713100956,5.016315373563725
50 km radius,Any exposure,STEM share zero-filled (pp),10,4.223467057264582,2.0093583552935605,0.2851246808892034,8.16180943363996
50 km radius,Any exposure,STEM share zero-filled (pp),20,3.570047356819647,2.0615403473973846,-0.47057172407922687,7.610666437718521
50 km radius,Any exposure,STEM share zero-filled (pp),30,4.319676993271283,2.085140972799284,0.232800686584687,8.40655329995788
50 km radius,Any exposure,STEM share zero-filled (pp),40,3.923901583938148,1.85718571538559,0.2838175817823916,7.563985586093905
50 km radius,Any exposure,STEM share zero-filled (pp),50,3.795191690926905,1.950481290599982,-0.027751638649059718,7.618135020502869
50 km radius,Any exposure,STEM share zero-filled (pp),60,1.0850830758215098,1.8176704693425074,-2.4775510440898048,4.647717195732824
50 km radius,Any exposure,STEM share smoothed (pp),-60,-2.6880495780084326,1.4377210597822907,-5.505982855181722,0.1298836991648571
50 km radius,Any exposure,STEM share smoothed (pp),-50,-2.779617710147959,1.4004154534922664,-5.524431998992801,-0.03480342130311698
50 km radius,Any exposure,STEM share smoothed (pp),-40,-1.5139393083556387,1.3721987206089843,-4.203448800749248,1.1755701840379704
50 km radius,Any exposure,STEM share smoothed (pp),-30,-1.8813389718447788,1.2895587755959492,-4.408874172012839,0.6461962283232814
50 km radius,Any exposure,STEM share smoothed (pp),-20,0.9687018620839395,1.2602803558329072,-1.5014476353485584,3.4388513595164376
50 km radius,Any exposure,STEM share smoothed (pp),0,1.4407353286952278,1.3499054261069297,-1.2050793064743541,4.08654996386481
50 km radius,Any exposure,STEM share smoothed (pp),10,3.6860455943012242,1.463005626403012,0.8185545665513208,6.553536622051128
50 km radius,Any exposure,STEM share smoothed (pp),20,3.602329763287914,1.558833177771596,0.5470167348555859,6.657642791720242
50 km radius,Any exposure,STEM share smoothed (pp),30,3.953967309104051,1.584077990175758,0.8491744483595651,7.0587601698485365
