design,outcome,estimator,event_time,att,se,conf_low,conf_high
50 km radius,STEM births (count),Wooldridge ETWFE,-20,0.3059253680724364,4779.637217230387,-9367.783020403485,9368.394871139632
50 km radius,STEM births (count),Wooldridge ETWFE,-10,0.34107173230755894,4779.6380514845105,-9367.749509177333,9368.431652641948
50 km radius,STEM births (count),Wooldridge ETWFE,0,0.38734877615939084,4779.637375011549,-9367.701906246477,9368.476603798796
50 km radius,STEM births (count),Wooldridge ETWFE,10,0.46474156137301253,4779.637904469305,-9367.625551198465,9368.55503432121
50 km radius,STEM births (count),Wooldridge ETWFE,20,0.6253624607026624,4779.639004734407,-9367.467086818733,9368.71781174014
50 km radius,STEM births (count),Wooldridge ETWFE,30,0.8342844903740108,4779.630948893838,-9367.242375341548,9368.910944322297
50 km radius,STEM births (count),Wooldridge ETWFE,40,1.2178201220549294,4779.641483894902,-9366.879488311954,9369.315128556062
50 km radius,STEM births (count),Wooldridge ETWFE,50,1.6705023084903836,4779.636841728156,-9366.417707478695,9369.758712095676
50 km radius,STEM births (count),Wooldridge ETWFE,60,1.3916571547152996,4779.637477386367,-9366.697798522564,9369.481112831996
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-60,-4.995586763028867,2.1928085860123967,-9.293491591613165,-0.6976819344445699
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-50,-5.726486658073945,2.138964332266177,-9.918856749315651,-1.534116566832238
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-40,-3.746956485397647,2.1367257436087743,-7.934938942870845,0.44102597207555094
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-30,-4.912530191949372,1.929028645400113,-8.693426336933594,-1.1316340469651505
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,-20,-0.30671215721769285,1.9436425695339254,-4.116251593504186,3.502827279068801
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,0,1.6439539453071477,2.134661909613972,-2.539983397536237,5.827891288150533
50 km radius,Any STEM birth (pp),Callaway-Sant'Anna DR,10,5.50550815442691,2.184846305163465,1.223209396306519,9.787806912547302
