outcome,sample,timing,control_spec,control_group,event_time,estimate,se,ci_low,ci_high
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-60,0.7671700749165937,1.070493274689094,-1.3309967434740304,2.8653368933072176
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-50,-0.4465907763900721,0.7835330796572298,-1.9823156125182426,1.0891340597380985
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-40,1.065319062458263,0.7862418867515446,-0.4757150355747646,2.6063531604912904
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-30,1.0521065481273173,0.7787265289428291,-0.47419744860062774,2.578410544855262
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-20,0.22585016170826216,0.682356839085643,-1.111569242899598,1.5632695663161225
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,-10,0,NA,NA,NA
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,0,0.5128611755831846,0.6094124969025473,-0.681587318345808,1.7073096695121772
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,10,0.1958618407971907,0.5896684814039527,-0.9598883827545565,1.351612064348938
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,20,-0.6049515815137914,0.5726179726337103,-1.7272828078758635,0.5173796448482808
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,30,-0.9315114102442326,0.47828117039323237,-1.868942504214968,0.005919683726502867
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,40,-0.7439025533051294,0.5815316619529441,-1.8837046107329,0.3958995041226411
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,50,-0.9890905751020468,0.6231028940476012,-2.210372247435345,0.23219109723125164
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,60,-1.51447942453407,0.5329652070523861,-2.5590912303567466,-0.46986761871139326
stem_per_100k_pop,europe_lau,alternative_decade,population_level,notyettreated,70,-1.6797464533396809,0.6185611015608673,-2.892126212398981,-0.4673666942803809
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-70,-10.580641655582932,5.326576503292508,-21.02073160203625,-0.1405517091296158
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-60,-9.496158370711173,5.158308237854621,-19.60644251690623,0.6141257754838847
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-50,-9.743559831570346,5.040096056036518,-19.62214810140192,0.13502843826122835
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-40,-7.878093075964366,3.9824853067919497,-15.683764277276588,-0.07242187465214478
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-30,-5.530954073621106,4.26119201510947,-13.882890423235668,2.8209822759934555
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-20,-4.121901406642534,2.7652231474003797,-9.541738775547278,1.2979359622622102
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-10,0,NA,NA,NA
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,0,1.3755866248295991,1.4165805592970897,-1.4009112713926968,4.152084521051895
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,10,3.187615439963924,1.6977669176041024,-0.1400077185401165,6.515238598467965
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,20,6.722467117958406,3.113583867974803,0.6198427367277919,12.82509149918902
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,30,8.560964983538831,3.2445436529011324,2.201659423852612,14.920270543225051
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,40,15.515996329291871,5.826487989129606,4.096079870597844,26.9359127879859
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,50,20.367465792611682,9.1530755485873,2.427437717380574,38.307493867842794
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,60,12.787281799427246,5.746883230085369,1.523390668459923,24.05117293039457
n_inventors,europe_lau,alternative_decade,population_level,notyettreated,70,10.809267176309051,6.039558585260805,-1.0282676508021265,22.646802003420227
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-70,-0.6082969557762798,0.1459672558597722,-0.8943927772614333,-0.32220113429112635
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-60,-0.3387594181289694,0.12387265403020427,-0.5815498200281698,-0.09596901622976906
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-50,-0.3349939261494917,0.08450062754608219,-0.5006151561398128,-0.1693726961591706
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-40,-0.25278497533972744,0.08741258241416382,-0.4241136368714885,-0.08145631380796636
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-30,-0.05720236054052549,0.09955480345620074,-0.25232977531467893,0.13792505423362797
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-20,-0.03706988948856656,0.09480351975746641,-0.22288478821320074,0.1487450092360676
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,-10,0,NA,NA,NA
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,0,0.11130825010131128,0.0966892191200022,-0.07820261937389301,0.3008191195765156
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,10,0.18417520705304677,0.08589281604217398,0.015825287610385763,0.3525251264957078
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,20,0.17367993095545523,0.11504232820257741,-0.0518030323215965,0.39916289423250695
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,30,0.25281373237461274,0.11129950073967763,0.03466671092484458,0.4709607538243809
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,40,0.4566734389412138,0.1343970773358988,0.19325516736285214,0.7200917105195754
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,50,0.4795107424018306,0.1723428339547409,0.14171878785053849,0.8173026969531227
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,60,0.385472371994418,0.19189716326124381,0.009353932002380105,0.7615908119864558
log1p_n_inventors,europe_lau,alternative_decade,population_level,notyettreated,70,0.19693726112341103,0.21584341131631704,-0.22611582505657035,0.6199903473033924
n_stem,europe_lau,alternative_decade,population_level,notyettreated,-70,-3.997331240739387,1.7330438771367038,-7.394097239927326,-0.6005652415514477
n_stem,europe_lau,alternative_decade,population_level,notyettreated,-60,-3.3288759259236063,1.6950626340145079,-6.651198688592041,-0.006553163255170968
n_stem,europe_lau,alternative_decade,population_level,notyettreated,-50,-4.002891146533891,1.947888589992625,-7.820752782919436,-0.1850295101483459
n_stem,europe_lau,alternative_decade,population_level,notyettreated,-40,-2.584819616637634,1.5527209570168514,-5.628152692390662,0.458513459115395
n_stem,europe_lau,alternative_decade,population_level,notyettreated,-30,-1.6280871308155278,0.9252669368291792,-3.441610327000719,0.1854360653696634
n_stem,europe_lau,alternative_decade,population_level,notyettreated,-20,-1.7614825679574777,1.1867485752077842,-4.087509775364735,0.5645446394497793
n_stem,europe_lau,alternative_decade,population_level,notyettreated,-10,0,NA,NA,NA
n_stem,europe_lau,alternative_decade,population_level,notyettreated,0,0.2727155594604964,0.7458214735204526,-1.1890945286395906,1.7345256475605835
