outcome,sample,timing,control_group,event_time,estimate,se,ci_low,ci_high
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,30,-0.792959669819942,0.46044877755501373,-1.6954392738277688,0.10951993418788486
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,40,-0.6460596078933261,0.5527366603769053,-1.7294234622320603,0.4373042464454082
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,50,-0.7965987482680544,0.5181300014162571,-1.8121335510439183,0.2189360545078095
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,60,-1.3850245096518998,0.5059367807174032,-2.37666059985801,-0.3933884194457895
stem_per_100k_pop,europe_lau,alternative_decade,notyettreated,70,-1.6129672697389545,0.5966421161443398,-2.7823858173818605,-0.44354872209604856
n_inventors,europe_lau,alternative_decade,notyettreated,-70,-12.66059477375774,5.487370413485329,-23.415840784188987,-1.9053487633264954
n_inventors,europe_lau,alternative_decade,notyettreated,-60,-11.263166307983962,5.606738016830913,-22.25237282097255,-0.27395979499537404
n_inventors,europe_lau,alternative_decade,notyettreated,-50,-11.130466750189841,5.084765587487712,-21.096607301665756,-1.1643261987139262
n_inventors,europe_lau,alternative_decade,notyettreated,-40,-9.338403658989156,4.1191131399322956,-17.411865413256457,-1.2649419047218569
n_inventors,europe_lau,alternative_decade,notyettreated,-30,-6.847717034372777,4.124014312155948,-14.930785086198433,1.2353510174528806
n_inventors,europe_lau,alternative_decade,notyettreated,-20,-4.891088865496738,2.8964884538607882,-10.568206235063883,0.7860285040704067
n_inventors,europe_lau,alternative_decade,notyettreated,-10,0,NA,NA,NA
n_inventors,europe_lau,alternative_decade,notyettreated,0,2.7891183617134008,1.8782267069551877,-0.892205983918767,6.470442707345569
n_inventors,europe_lau,alternative_decade,notyettreated,10,5.069329741831595,1.6802790436730555,1.7759828162324065,8.362676667430783
n_inventors,europe_lau,alternative_decade,notyettreated,20,8.011880112941602,3.4003477015727643,1.347198617858984,14.67656160802422
n_inventors,europe_lau,alternative_decade,notyettreated,30,9.788096023224252,3.674892940418661,2.585305860003677,16.990886186444826
n_inventors,europe_lau,alternative_decade,notyettreated,40,15.931176979889232,5.119546891332862,5.896865072876821,25.965488886901642
n_inventors,europe_lau,alternative_decade,notyettreated,50,22.759722281401213,8.808435706701768,5.495188296265749,40.02425626653668
n_inventors,europe_lau,alternative_decade,notyettreated,60,16.095787242846068,4.012255575764009,8.231766314348612,23.959808171343525
n_inventors,europe_lau,alternative_decade,notyettreated,70,13.082876172674801,5.581942200228429,2.14226946022708,24.023482885122522
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,-70,-0.6759540279170333,0.1134414780664056,-0.8982993249271882,-0.4536087309068783
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,-60,-0.3841656976649239,0.12175857555420427,-0.6228125057511643,-0.14551888957868356
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,-50,-0.353959463617266,0.08731914296810013,-0.5251049838347422,-0.18281394339978974
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,-40,-0.27958237934420316,0.08748534573996393,-0.4510536569945325,-0.10811110169387386
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,-30,-0.08189482636823046,0.09870217190788753,-0.27535108330769004,0.1115614305712291
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,-20,-0.033034233361505405,0.08556291059295529,-0.20073753812369777,0.13466907140068696
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,-10,0,NA,NA,NA
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,0,0.13475054198307806,0.094437974656755,-0.050347888344161734,0.31984897231031784
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,10,0.22466979820388566,0.06576280393126781,0.09577470249860076,0.35356489390917056
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,20,0.19737490953893067,0.09398273683558633,0.013168745341181454,0.3815810737366799
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,30,0.28448563979033015,0.09147841517137205,0.10518794605444093,0.46378333352621937
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,40,0.4387666987553635,0.09270312673706455,0.257068570350717,0.62046482716001
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,50,0.5029440252775275,0.09825307845226401,0.31036799151109,0.695520059043965
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,60,0.40799661471720516,0.11543187316278024,0.1817501433181559,0.6342430861162545
log1p_n_inventors,europe_lau,alternative_decade,notyettreated,70,0.2384414569825666,0.14088847485203854,-0.03769995372742893,0.5145828676925621
n_stem,europe_lau,alternative_decade,notyettreated,-70,-4.883847970620388,1.8098530095214367,-8.431159869282403,-1.3365360719583719
n_stem,europe_lau,alternative_decade,notyettreated,-60,-4.081279019197866,1.7515231900773418,-7.514264471749456,-0.6482935666462759
n_stem,europe_lau,alternative_decade,notyettreated,-50,-4.5724223204277825,1.9312906791098088,-8.357752051483008,-0.7870925893725573
n_stem,europe_lau,alternative_decade,notyettreated,-40,-3.2499976232392593,1.6083883097882326,-6.402438710424195,-0.09755653605432357
n_stem,europe_lau,alternative_decade,notyettreated,-30,-2.1367113662657924,1.047758814827618,-4.190318643327924,-0.08310408920366097
n_stem,europe_lau,alternative_decade,notyettreated,-20,-1.957015350931853,1.1387558508086146,-4.188976818516737,0.2749461166530316
n_stem,europe_lau,alternative_decade,notyettreated,-10,0,NA,NA,NA
n_stem,europe_lau,alternative_decade,notyettreated,0,0.9179542382809097,0.8102953097561122,-0.6702245688410701,2.5061330454028896
n_stem,europe_lau,alternative_decade,notyettreated,10,2.2650976204723534,0.8273207112490311,0.6435490264242525,3.8866462145204546
n_stem,europe_lau,alternative_decade,notyettreated,20,2.811342227693387,1.3184764491865386,0.22712838728777163,5.395556068099003
n_stem,europe_lau,alternative_decade,notyettreated,30,2.7893469470446077,1.104897632025656,0.623747588274322,4.954946305814893
n_stem,europe_lau,alternative_decade,notyettreated,40,4.229821583269423,1.4895526024220127,1.3102984825222785,7.149344684016568
