"GEOID","decade","population","n_inventors","inv_per_100k","lon_county","lat_county"
"48153",1950,10535,0,0,-101.303146109562,34.0722839069942
"48153",1960,12369,0,0,-101.303146109562,34.0722839069942
"48153",1970,11044,0,0,-101.303146109562,34.0722839069942
"48153",1980,9834,0,0,-101.303146109562,34.0722839069942
"48153",1990,8497,0,0,-101.303146109562,34.0722839069942
"48153",2000,7771,0,0,-101.303146109562,34.0722839069942
"31161",1870,NA,0,NA,-102.403146516865,42.5013942023858
"31161",1880,NA,0,NA,-102.403146516865,42.5013942023858
"31161",1890,8687,0,0,-102.403146516865,42.5013942023858
"31161",1900,6033,0,0,-102.403146516865,42.5013942023858
"31161",1910,7328,1,13.646288209607,-102.403146516865,42.5013942023858
"31161",1920,9625,0,0,-102.403146516865,42.5013942023858
"31161",1930,10793,0,0,-102.403146516865,42.5013942023858
"31161",1940,9869,0,0,-102.403146516865,42.5013942023858
"31161",1950,9539,0,0,-102.403146516865,42.5013942023858
"31161",1960,9049,0,0,-102.403146516865,42.5013942023858
"31161",1970,7285,0,0,-102.403146516865,42.5013942023858
"31161",1980,7544,0,0,-102.403146516865,42.5013942023858
"31161",1990,6750,0,0,-102.403146516865,42.5013942023858
"31161",2000,6198,0,0,-102.403146516865,42.5013942023858
"37063",1870,NA,0,NA,-78.8761010805077,36.0363211752729
"37063",1880,NA,1,NA,-78.8761010805077,36.0363211752729
"37063",1890,18041,1,5.54292999279419,-78.8761010805077,36.0363211752729
"37063",1900,26233,0,0,-78.8761010805077,36.0363211752729
"37063",1910,35276,0,0,-78.8761010805077,36.0363211752729
"37063",1920,42219,3,7.10580544304697,-78.8761010805077,36.0363211752729
"37063",1930,67196,1,1.4881838204655,-78.8761010805077,36.0363211752729
"37063",1940,80244,1,1.24619909276706,-78.8761010805077,36.0363211752729
"37063",1950,101639,3,2.95162290065821,-78.8761010805077,36.0363211752729
"37063",1960,111995,1,0.892897004330551,-78.8761010805077,36.0363211752729
"37063",1970,132681,1,0.75368741568122,-78.8761010805077,36.0363211752729
"37063",1980,152785,0,0,-78.8761010805077,36.0363211752729
"37063",1990,181835,1,0.549949129705502,-78.8761010805077,36.0363211752729
"37063",2000,223314,0,0,-78.8761010805077,36.0363211752729
"18009",1870,6272,0,0,-85.3250428641863,40.4739233484622
"18009",1880,8020,0,0,-85.3250428641863,40.4739233484622
"18009",1890,10461,0,0,-85.3250428641863,40.4739233484622
"18009",1900,17213,0,0,-85.3250428641863,40.4739233484622
"18009",1910,15820,0,0,-85.3250428641863,40.4739233484622
"18009",1920,14084,0,0,-85.3250428641863,40.4739233484622
"18009",1930,13617,0,0,-85.3250428641863,40.4739233484622
"18009",1940,13783,0,0,-85.3250428641863,40.4739233484622
"18009",1950,14026,0,0,-85.3250428641863,40.4739233484622
"18009",1960,14792,0,0,-85.3250428641863,40.4739233484622
"18009",1970,15888,0,0,-85.3250428641863,40.4739233484622
"18009",1980,15570,0,0,-85.3250428641863,40.4739233484622
"18009",1990,14067,0,0,-85.3250428641863,40.4739233484622
"18009",2000,14048,0,0,-85.3250428641863,40.4739233484622
"38003",1870,NA,0,NA,-98.0660326572651,46.9354778636686
"38003",1880,NA,0,NA,-98.0660326572651,46.9354778636686
"38003",1890,7045,0,0,-98.0660326572651,46.9354778636686
"38003",1900,13159,0,0,-98.0660326572651,46.9354778636686
"38003",1910,18066,0,0,-98.0660326572651,46.9354778636686
"38003",1920,18678,0,0,-98.0660326572651,46.9354778636686
"38003",1930,18804,2,10.6360348861944,-98.0660326572651,46.9354778636686
"38003",1940,17814,0,0,-98.0660326572651,46.9354778636686
"38003",1950,16884,0,0,-98.0660326572651,46.9354778636686
"38003",1960,16719,0,0,-98.0660326572651,46.9354778636686
"38003",1970,14669,0,0,-98.0660326572651,46.9354778636686
"38003",1980,13960,0,0,-98.0660326572651,46.9354778636686
"38003",1990,12545,0,0,-98.0660326572651,46.9354778636686
"38003",2000,11775,0,0,-98.0660326572651,46.9354778636686
"19125",1870,24436,0,0,-93.0993469371842,41.3344664327605
"19125",1880,25111,0,0,-93.0993469371842,41.3344664327605
"19125",1890,23058,0,0,-93.0993469371842,41.3344664327605
"19125",1900,24159,0,0,-93.0993469371842,41.3344664327605
"19125",1910,22995,1,4.34877147205914,-93.0993469371842,41.3344664327605
"19125",1920,24957,0,0,-93.0993469371842,41.3344664327605
"19125",1930,25727,1,3.88696699965017,-93.0993469371842,41.3344664327605
"19125",1940,27019,0,0,-93.0993469371842,41.3344664327605
"19125",1950,25930,0,0,-93.0993469371842,41.3344664327605
"19125",1960,25886,0,0,-93.0993469371842,41.3344664327605
"19125",1970,26352,0,0,-93.0993469371842,41.3344664327605
"19125",1980,29669,0,0,-93.0993469371842,41.3344664327605
"19125",1990,30001,0,0,-93.0993469371842,41.3344664327605
"19125",2000,32052,0,0,-93.0993469371842,41.3344664327605
"18039",1870,26026,1,3.84231153461923,-85.8587576551187,41.5976156913995
"18039",1880,33454,0,0,-85.8587576551187,41.5976156913995
"18039",1890,39201,0,0,-85.8587576551187,41.5976156913995
"18039",1900,45052,0,0,-85.8587576551187,41.5976156913995
"18039",1910,49008,2,4.08096637283709,-85.8587576551187,41.5976156913995
"18039",1920,56384,1,1.77355278093076,-85.8587576551187,41.5976156913995
"18039",1930,68875,1,1.4519056261343,-85.8587576551187,41.5976156913995
"18039",1940,72634,1,1.37676570201283,-85.8587576551187,41.5976156913995
"18039",1950,84512,2,2.36652783036729,-85.8587576551187,41.5976156913995
"18039",1960,106790,0,0,-85.8587576551187,41.5976156913995
"18039",1970,126529,0,0,-85.8587576551187,41.5976156913995
"18039",1980,137330,0,0,-85.8587576551187,41.5976156913995
"18039",1990,156198,0,0,-85.8587576551187,41.5976156913995
"18039",2000,182791,0,0,-85.8587576551187,41.5976156913995
"13071",1870,1654,0,0,-83.7678113760934,31.1881328436785
"13071",1880,2527,0,0,-83.7678113760934,31.1881328436785
"13071",1890,4794,0,0,-83.7678113760934,31.1881328436785
"13071",1900,13636,0,0,-83.7678113760934,31.1881328436785
"13071",1910,19789,0,0,-83.7678113760934,31.1881328436785
"13071",1920,29332,0,0,-83.7678113760934,31.1881328436785
"13071",1930,30622,0,0,-83.7678113760934,31.1881328436785
"13071",1940,33012,0,0,-83.7678113760934,31.1881328436785
"13071",1950,33999,0,0,-83.7678113760934,31.1881328436785
"13071",1960,34048,0,0,-83.7678113760934,31.1881328436785
"13071",1970,32200,0,0,-83.7678113760934,31.1881328436785
"13071",1980,35376,0,0,-83.7678113760934,31.1881328436785
"13071",1990,36645,0,0,-83.7678113760934,31.1881328436785
"13071",2000,42053,0,0,-83.7678113760934,31.1881328436785
"48235",1870,NA,0,NA,-100.982439063532,31.3038247048623
"48235",1880,NA,0,NA,-100.982439063532,31.3038247048623
"48235",1890,870,0,0,-100.982439063532,31.3038247048623
"48235",1900,848,0,0,-100.982439063532,31.3038247048623
"48235",1910,1283,0,0,-100.982439063532,31.3038247048623
"48235",1920,1610,0,0,-100.982439063532,31.3038247048623
"48235",1930,2049,0,0,-100.982439063532,31.3038247048623
"48235",1940,1963,0,0,-100.982439063532,31.3038247048623
"48235",1950,1590,0,0,-100.982439063532,31.3038247048623
"48235",1960,1183,0,0,-100.982439063532,31.3038247048623
"48235",1970,1070,0,0,-100.982439063532,31.3038247048623
"48235",1980,1386,0,0,-100.982439063532,31.3038247048623
"48235",1990,1629,0,0,-100.982439063532,31.3038247048623
"48235",2000,1771,0,0,-100.982439063532,31.3038247048623
"47185",1870,9375,0,0,-85.457536025886,35.929107549324
"47185",1880,11176,0,0,-85.457536025886,35.929107549324
"47185",1890,12348,0,0,-85.457536025886,35.929107549324
"47185",1900,14157,0,0,-85.457536025886,35.929107549324
"47185",1910,15420,0,0,-85.457536025886,35.929107549324
"47185",1920,15701,0,0,-85.457536025886,35.929107549324
"47185",1930,15543,0,0,-85.457536025886,35.929107549324
"47185",1940,15983,0,0,-85.457536025886,35.929107549324
"47185",1950,16204,0,0,-85.457536025886,35.929107549324
"47185",1960,15577,0,0,-85.457536025886,35.929107549324
"47185",1970,17088,0,0,-85.457536025886,35.929107549324
"47185",1980,19567,0,0,-85.457536025886,35.929107549324
"47185",1990,20090,0,0,-85.457536025886,35.929107549324
"47185",2000,23102,0,0,-85.457536025886,35.929107549324
"18033",1870,17167,0,0,-84.9990735519624,41.3981227936436
"18033",1880,20225,0,0,-84.9990735519624,41.3981227936436
"18033",1890,24307,0,0,-84.9990735519624,41.3981227936436
"18033",1900,25711,0,0,-84.9990735519624,41.3981227936436
"18033",1910,25054,0,0,-84.9990735519624,41.3981227936436
"18033",1920,25600,0,0,-84.9990735519624,41.3981227936436
"18033",1930,24911,0,0,-84.9990735519624,41.3981227936436
"18033",1940,24756,0,0,-84.9990735519624,41.3981227936436
"18033",1950,26023,0,0,-84.9990735519624,41.3981227936436
"18033",1960,28271,0,0,-84.9990735519624,41.3981227936436
"18033",1970,30837,0,0,-84.9990735519624,41.3981227936436
"18033",1980,33606,0,0,-84.9990735519624,41.3981227936436
"18033",1990,35324,0,0,-84.9990735519624,41.3981227936436
"18033",2000,40285,0,0,-84.9990735519624,41.3981227936436
"19105",1870,19731,0,0,-91.1314193566342,42.1211978902551
"19105",1880,21052,0,0,-91.1314193566342,42.1211978902551
"19105",1890,20233,0,0,-91.1314193566342,42.1211978902551
"19105",1900,21954,0,0,-91.1314193566342,42.1211978902551
"19105",1910,19050,0,0,-91.1314193566342,42.1211978902551
"19105",1920,18607,0,0,-91.1314193566342,42.1211978902551
"19105",1930,19206,0,0,-91.1314193566342,42.1211978902551
"19105",1940,19950,1,5.0125313283208,-91.1314193566342,42.1211978902551
"19105",1950,19401,0,0,-91.1314193566342,42.1211978902551
"19105",1960,20693,0,0,-91.1314193566342,42.1211978902551
"19105",1970,19868,0,0,-91.1314193566342,42.1211978902551
"19105",1980,20401,0,0,-91.1314193566342,42.1211978902551
"19105",1990,19444,0,0,-91.1314193566342,42.1211978902551
"19105",2000,20221,0,0,-91.1314193566342,42.1211978902551
"30033",1870,NA,0,NA,-107.00084737486,47.2754564557539
"30033",1880,NA,0,NA,-107.00084737486,47.2754564557539
"30033",1890,NA,0,NA,-107.00084737486,47.2754564557539
"30033",1900,NA,0,NA,-107.00084737486,47.2754564557539
"30033",1910,NA,0,NA,-107.00084737486,47.2754564557539
"30033",1920,5368,1,18.628912071535,-107.00084737486,47.2754564557539
"30033",1930,4252,0,0,-107.00084737486,47.2754564557539
"30033",1940,2641,0,0,-107.00084737486,47.2754564557539
"30033",1950,2172,0,0,-107.00084737486,47.2754564557539
"30033",1960,1981,0,0,-107.00084737486,47.2754564557539
"30033",1970,1796,0,0,-107.00084737486,47.2754564557539
"30033",1980,1656,0,0,-107.00084737486,47.2754564557539
"30033",1990,1589,0,0,-107.00084737486,47.2754564557539
"30033",2000,1279,0,0,-107.00084737486,47.2754564557539
"48281",1870,1344,0,0,-98.2416382017243,31.1953500858137
"48281",1880,5421,0,0,-98.2416382017243,31.1953500858137
"48281",1890,7584,0,0,-98.2416382017243,31.1953500858137
"48281",1900,8625,0,0,-98.2416382017243,31.1953500858137
"48281",1910,9532,0,0,-98.2416382017243,31.1953500858137
"48281",1920,8800,0,0,-98.2416382017243,31.1953500858137
"48281",1930,8677,0,0,-98.2416382017243,31.1953500858137
"48281",1940,9167,0,0,-98.2416382017243,31.1953500858137
"48281",1950,9929,0,0,-98.2416382017243,31.1953500858137
"48281",1960,9418,0,0,-98.2416382017243,31.1953500858137
"48281",1970,9323,0,0,-98.2416382017243,31.1953500858137
"48281",1980,12005,0,0,-98.2416382017243,31.1953500858137
"48281",1990,13521,0,0,-98.2416382017243,31.1953500858137
"48281",2000,17762,0,0,-98.2416382017243,31.1953500858137
"48191",1870,NA,0,NA,-100.681387801847,34.5307565684238
"48191",1880,36,0,0,-100.681387801847,34.5307565684238
"48191",1890,703,0,0,-100.681387801847,34.5307565684238
"48191",1900,1670,0,0,-100.681387801847,34.5307565684238
"48191",1910,8279,0,0,-100.681387801847,34.5307565684238
"48191",1920,11137,0,0,-100.681387801847,34.5307565684238
"48191",1930,16966,0,0,-100.681387801847,34.5307565684238
"48191",1940,12117,0,0,-100.681387801847,34.5307565684238
"48191",1950,10930,0,0,-100.681387801847,34.5307565684238
"48191",1960,7322,0,0,-100.681387801847,34.5307565684238
"48191",1970,6015,0,0,-100.681387801847,34.5307565684238
"48191",1980,5594,0,0,-100.681387801847,34.5307565684238
"48191",1990,3905,0,0,-100.681387801847,34.5307565684238
"48191",2000,3782,0,0,-100.681387801847,34.5307565684238
"31019",1870,193,0,0,-99.0750406347376,40.8549258443116
"31019",1880,7531,0,0,-99.0750406347376,40.8549258443116
"31019",1890,22162,0,0,-99.0750406347376,40.8549258443116
"31019",1900,20254,0,0,-99.0750406347376,40.8549258443116
"31019",1910,21907,0,0,-99.0750406347376,40.8549258443116
"31019",1920,23787,0,0,-99.0750406347376,40.8549258443116
"31019",1930,24338,0,0,-99.0750406347376,40.8549258443116
"31019",1940,23655,2,8.45487212005918,-99.0750406347376,40.8549258443116
"31019",1950,25134,0,0,-99.0750406347376,40.8549258443116
"31019",1960,26236,0,0,-99.0750406347376,40.8549258443116
"31019",1970,31222,0,0,-99.0750406347376,40.8549258443116
"31019",1980,34797,0,0,-99.0750406347376,40.8549258443116
"31019",1990,37447,0,0,-99.0750406347376,40.8549258443116
"31019",2000,42259,0,0,-99.0750406347376,40.8549258443116
"13139",1870,9607,0,0,-83.8190068077599,34.3220123347476
"13139",1880,15298,0,0,-83.8190068077599,34.3220123347476
"13139",1890,18047,0,0,-83.8190068077599,34.3220123347476
"13139",1900,20752,0,0,-83.8190068077599,34.3220123347476
"13139",1910,25730,0,0,-83.8190068077599,34.3220123347476
"13139",1920,26822,0,0,-83.8190068077599,34.3220123347476
"13139",1930,30313,0,0,-83.8190068077599,34.3220123347476
"13139",1940,34822,0,0,-83.8190068077599,34.3220123347476
"13139",1950,40113,0,0,-83.8190068077599,34.3220123347476
"13139",1960,49739,0,0,-83.8190068077599,34.3220123347476
"13139",1970,59405,0,0,-83.8190068077599,34.3220123347476
"13139",1980,75649,0,0,-83.8190068077599,34.3220123347476
"13139",1990,95428,0,0,-83.8190068077599,34.3220123347476
"13139",2000,139277,0,0,-83.8190068077599,34.3220123347476
"51595",1870,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1880,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1890,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1900,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1910,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1920,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1930,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1940,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1950,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1960,NA,0,NA,-77.5338076961462,36.6970441795271
"51595",1970,5300,0,0,-77.5338076961462,36.6970441795271
"51595",1980,4840,0,0,-77.5338076961462,36.6970441795271
"51595",1990,5306,0,0,-77.5338076961462,36.6970441795271
"51595",2000,5665,0,0,-77.5338076961462,36.6970441795271
"47041",1870,11425,1,8.7527352297593,-85.8368064900341,35.9761560971485
"47041",1880,14813,0,0,-85.8368064900341,35.9761560971485
"47041",1890,15650,0,0,-85.8368064900341,35.9761560971485
